,Date,Open,High,Low,Close,Adj Close,Volume,Date_str,Daily_return,Cum_return
69,2019-06-11,26180.58984,26248.66992,25998.86914,26048.50977,26048.50977,253490000,06/11/2019,-0.000543686227530822,-0.011535775546498771
70,2019-06-12,26040.30078,26082.09961,25958.66016,26004.83008,26004.83008,223690000,06/12/2019,-0.001676859458973988,-0.01321263500547276
71,2019-06-13,26036.93945,26146.91016,25995.71094,26106.76953,26106.76953,213400000,06/13/2019,0.003920019845790189,-0.00929261515968257
72,2019-06-14,26076.35938,26162.2793,25988.08984,26089.60938,26089.60938,208020000,06/14/2019,-0.0006573065265804146,-0.009949921686262984
73,2019-06-17,26108.5293,26165.7793,26049.80078,26112.5293,26112.5293,199500000,06/17/2019,0.0008785075953481613,-0.009071414090914822
74,2019-06-18,26228.88086,26527.18945,26227.75977,26465.53906,26465.53906,273490000,06/18/2019,0.013518788469104785,0.0044473743781899625
75,2019-06-19,26490.16016,26569.75,26415.05078,26504.0,26504.0,240950000,06/19/2019,0.0014532460462190506,0.005900620424409013
76,2019-06-20,26665.38086,26798.63086,26539.68945,26753.16992,26753.16992,278170000,06/20/2019,0.009401219438575319,0.015301839862984331
77,2019-06-21,26749.11914,26907.36914,26705.86914,26719.13086,26719.13086,485560000,06/21/2019,-0.0012723374501708079,0.014029502412813522
78,2019-06-24,26727.60938,26806.51953,26723.36914,26727.53906,26727.53906,232390000,06/24/2019,0.0003146883798000169,0.014344190792613539
79,2019-06-25,26731.60938,26752.31055,26527.66016,26548.2207,26548.2207,282160000,06/25/2019,-0.006709123484861441,0.007635067307752098
80,2019-06-26,26599.41992,26660.03906,26536.33008,26536.82031,26536.82031,274340000,06/26/2019,-0.0004294219988913425,0.007205645308860756
81,2019-06-27,26523.7207,26607.24023,26465.32031,26526.58008,26526.58008,246930000,06/27/2019,-0.0003858876037284901,0.006819757705132265
82,2019-06-28,26605.92969,26638.34961,26522.26953,26599.96094,26599.96094,499350000,06/28/2019,0.002766314382732187,0.009586072087864453
83,2019-07-01,26805.85938,26890.64063,26616.21094,26717.42969,26717.42969,267670000,07/01/2019,0.004416124905783414,0.014002196993647867
84,2019-07-02,26719.5293,26787.56055,26632.65039,26786.67969,26786.67969,219270000,07/02/2019,0.002591940946546943,0.01659413794019481
85,2019-07-03,26832.32031,26966.0,26831.43945,26966.0,26966.0,149840000,07/03/2019,0.0066943836292985195,0.023288521569493327
86,2019-07-05,26867.75,26950.81055,26733.33008,26922.11914,26922.11914,192170000,07/05/2019,-0.0016272661870504013,0.021661255382442925
87,2019-07-08,26835.64063,26839.14063,26744.86914,26806.14063,26806.14063,214290000,07/08/2019,-0.004307926482194343,0.017353328900248582
88,2019-07-09,26725.11914,26807.69922,26665.57031,26783.49023,26783.49023,218330000,07/09/2019,-0.000844970572699792,0.01650835832754879
89,2019-07-10,26851.960939999997,26983.44922,26813.10938,26860.19922,26860.19922,207990000,07/10/2019,0.002864040098630535,0.019372398426179327
90,2019-07-11,26950.160160000003,27088.44922,26916.320310000003,27088.08008,27088.08008,252300000,07/11/2019,0.008483960157314169,0.027856358583493494
91,2019-07-12,27139.49023,27333.789060000003,27135.44922,27332.0293,27332.0293,248390000,07/12/2019,0.009005777422376795,0.03686213600587029
92,2019-07-15,27364.68945,27364.68945,27294.16992,27359.160160000003,27359.160160000003,199730000,07/15/2019,0.0009926397964166078,0.0378547758022869
93,2019-07-16,27349.320310000003,27398.679689999997,27290.24023,27335.63086,27335.63086,226000000,07/16/2019,-0.0008600154340410852,0.03699476036824581
94,2019-07-17,27320.910160000003,27343.06055,27218.38086,27219.84961,27219.84961,193930000,07/17/2019,-0.004235543368030395,0.03275921700021542
95,2019-07-18,27191.98047,27266.81055,27068.789060000003,27222.9707,27222.9707,216070000,07/18/2019,0.00011466227935564812,0.03287387927957107
96,2019-07-19,27246.38086,27342.960939999997,27145.7793,27154.19922,27154.19922,287690000,07/19/2019,-0.0025262298063599307,0.030347649473211138
97,2019-07-22,27174.179689999997,27227.76953,27088.90039,27171.90039,27171.90039,216310000,07/22/2019,0.0006518759716163074,0.030999525444827446
98,2019-07-23,27231.85938,27368.81055,27204.58008,27349.18945,27349.18945,248850000,07/23/2019,0.006524720665664225,0.03752424611049167
99,2019-07-24,27262.24023,27291.039060000003,27191.11914,27269.9707,27269.9707,244320000,07/24/2019,-0.0028965666476086366,0.03462767946288303
100,2019-07-25,27247.39063,27298.429689999997,27062.48047,27140.98047,27140.98047,241420000,07/25/2019,-0.0047301198603782535,0.02989755960250478
101,2019-07-26,27166.0,27213.69922,27123.25,27192.44922,27192.44922,233650000,07/26/2019,0.0018963482198769662,0.03179390782238174
102,2019-07-29,27192.24023,27275.84961,27178.06055,27221.34961,27221.34961,250850000,07/29/2019,0.0010628093764627252,0.03285671719884447
103,2019-07-30,27145.39063,27224.35938,27069.85938,27198.01953,27198.01953,293250000,07/30/2019,-0.0008570508198252307,0.031999666379019236
104,2019-07-31,27244.66992,27281.65039,26719.59961,26864.26953,26864.26953,385150000,07/31/2019,-0.012271114065193848,0.019728552313825386
105,2019-08-01,26879.85938,27175.589839999997,26548.71094,26583.41992,26583.41992,386320000,08/01/2019,-0.01045439220621165,0.009274160107613736
106,2019-08-02,26528.66016,26570.01953,26249.2207,26485.00977,26485.00977,327640000,08/02/2019,-0.0037019371584301295,0.005572222949183607
107,2019-08-05,26259.23047,26259.23047,25523.38086,25717.74023,25717.74023,422240000,08/05/2019,-0.02896995495425868,-0.023397732005075077
108,2019-08-06,25810.61914,26038.67969,25710.86914,26029.51953,26029.51953,318160000,08/06/2019,0.012123121907744769,-0.011274610097330308
109,2019-08-07,25814.2207,26073.21094,25440.39063,26007.07031,26007.07031,344790000,08/07/2019,-0.00086245233893498,-0.012137062436265288
110,2019-08-08,26086.51953,26383.60938,26038.09961,26378.18945,26378.18945,282530000,08/08/2019,0.01426993258280627,0.002132870146540981
111,2019-08-09,26337.08984,26413.35938,26097.64063,26287.43945,26287.43945,240260000,08/09/2019,-0.003440342263521047,-0.0013074721169800659
112,2019-08-12,26169.91016,26178.94922,25824.93945,25896.43945,25896.43945,199390000,08/12/2019,-0.014874023799225526,-0.01618149591620559
113,2019-08-13,25888.88086,26426.9707,25833.25,26279.91016,26279.91016,308900000,08/13/2019,0.014807854598713869,-0.0013736413174917222
114,2019-08-14,26035.08008,26035.08008,25471.58984,25479.41992,25479.41992,352250000,08/14/2019,-0.030460158924683296,-0.03183380024217502
115,2019-08-15,25514.25,25639.68945,25339.59961,25579.39063,25579.39063,332600000,08/15/2019,0.003923586577476581,-0.02791021366469844
116,2019-08-16,25678.16992,25929.65039,25678.16992,25886.00977,25886.00977,276210000,08/16/2019,0.011986960300781757,-0.01592325336391668
117,2019-08-19,26020.06055,26222.32031,26020.06055,26135.78906,26135.78906,252640000,08/19/2019,0.009649200174894262,-0.006274053189022417
118,2019-08-20,26086.85938,26160.11914,25952.0,25962.43945,25962.43945,238100000,08/20/2019,-0.006632652628242382,-0.012906705817264798
119,2019-08-21,26145.35938,26268.32031,26141.76953,26202.73047,26202.73047,208790000,08/21/2019,0.009255332899774829,-0.0036513729174899694
120,2019-08-22,26271.64063,26388.7793,26099.00977,26252.24023,26252.24023,222810000,08/22/2019,0.001889488580462463,-0.0017618843370275064
121,2019-08-23,26134.21094,26320.28906,25507.17969,25628.90039,25628.90039,364260000,08/23/2019,-0.023744253234726724,-0.02550613757175423
122,2019-08-26,25826.05078,25941.25,25716.39063,25898.83008,25898.83008,222780000,08/26/2019,0.0105322384453655,-0.014973899126388728
123,2019-08-27,26014.46094,26054.01953,25721.84961,25777.90039,25777.90039,263530000,08/27/2019,-0.0046693109158389,-0.01964321004222763
124,2019-08-28,25712.99023,26041.57031,25637.42969,26036.09961,26036.09961,207070000,08/28/2019,0.010016301409100226,-0.009626908633127403
125,2019-08-29,26249.08984,26408.83984,26185.71094,26362.25,26362.25,208650000,08/29/2019,0.012526852903678797,0.0028999442705513936
126,2019-08-30,26476.39063,26514.61914,26295.58984,26403.2793,26403.2793,2190810000,08/30/2019,0.0015563656364687508,0.004456309907020144
127,2019-09-03,26198.25977,26198.25977,25978.2207,26118.01953,26118.01953,223210000,09/03/2019,-0.010803952295425552,-0.006347642388405408
128,2019-09-04,26301.99023,26362.34961,26244.43945,26355.4707,26355.4707,202710000,09/04/2019,0.009091469195329155,0.002743826806923747
129,2019-09-05,26603.15039,26836.30078,26603.15039,26728.15039,26728.15039,256670000,09/05/2019,0.01414050594057488,0.016884332747498627
130,2019-09-06,26790.25,26860.86914,26708.39063,26797.46094,26797.46094,209700000,09/06/2019,0.0025931667170629824,0.01947749946456161
131,2019-09-09,26866.23047,26900.83008,26762.17969,26835.50977,26835.50977,273120000,09/09/2019,0.0014198669823679096,0.020897366446929518
132,2019-09-10,26805.83008,26909.429689999997,26717.05078,26909.429689999997,26909.429689999997,322340000,09/10/2019,0.0027545562068149463,0.023651922653744464
133,2019-09-11,26928.05078,27137.039060000003,26885.48047,27137.039060000003,27137.039060000003,272590000,09/11/2019,0.008458349828372212,0.032110272482116675
134,2019-09-12,27197.320310000003,27306.73047,27105.00977,27182.44922,27182.44922,250010000,09/12/2019,0.0016733645811392295,0.033783637063255906
135,2019-09-13,27216.66992,27277.55078,27193.94922,27219.51953,27219.51953,255260000,09/13/2019,0.0013637590086152949,0.0351473960718712
136,2019-09-16,27146.06055,27172.86914,27032.56055,27076.820310000003,27076.820310000003,220620000,09/16/2019,-0.00524253265538808,0.029904863416483123
137,2019-09-17,27010.11914,27110.80078,26984.14063,27110.80078,27110.80078,223580000,09/17/2019,0.0012549653028294814,0.031159828719312603
138,2019-09-18,27075.39063,27161.929689999997,26899.15039,27147.08008,27147.08008,212860000,09/18/2019,0.0013381862193743111,0.03249801493868691
139,2019-09-19,27186.05078,27272.16992,27064.210939999997,27094.789060000003,27094.789060000003,212360000,09/19/2019,-0.0019262115795105775,0.030571803359176333
140,2019-09-20,27102.179689999997,27194.75,26926.679689999997,26935.070310000003,26935.070310000003,497640000,09/20/2019,-0.005894814299764841,0.024676989059411493
141,2019-09-23,26851.44922,27011.070310000003,26831.33984,26949.99023,26949.99023,204240000,09/23/2019,0.0005539217023858081,0.0252309107617973
142,2019-09-24,27034.070310000003,27079.679689999997,26704.96094,26807.76953,26807.76953,301750000,09/24/2019,-0.005277207850030379,0.019953702911766923
143,2019-09-25,26866.710939999997,27016.56055,26755.85938,26970.710939999997,26970.710939999997,237220000,09/25/2019,0.006078141257431043,0.026031844169197967
144,2019-09-26,27004.10938,27015.070310000003,26803.83984,26891.11914,26891.11914,229180000,09/26/2019,-0.0029510456797768913,0.023080798489421076
145,2019-09-27,26987.25977,27012.539060000003,26715.82031,26820.25,26820.25,217780000,09/27/2019,-0.002635410584105533,0.020445387905315544
146,2019-09-30,26852.33008,26998.85938,26852.33008,26916.83008,26916.83008,222680000,09/30/2019,0.003601013413372348,0.02404640131868789
147,2019-10-01,26962.539060000003,27046.210939999997,26562.2207,26573.03906,26573.03906,260110000,10/01/2019,-0.012772344253696034,0.011274057064991856
148,2019-10-02,26425.85938,26438.03906,25974.11914,26078.61914,26078.61914,309640000,10/02/2019,-0.0186060735802042,-0.007332016515212345
149,2019-10-03,26039.01953,26205.19922,25743.46094,26201.03906,26201.03906,241610000,10/03/2019,0.004694263885016432,-0.002637752630195913
150,2019-10-04,26271.69922,26590.74023,26271.69922,26573.7207,26573.7207,221310000,10/04/2019,0.014223925972804627,0.011586173342608714
151,2019-10-07,26502.33008,26655.83984,26424.53906,26478.01953,26478.01953,195200000,10/07/2019,-0.0036013462728988594,0.007984827069709854
152,2019-10-08,26276.58984,26421.81055,26139.80078,26164.03906,26164.03906,244590000,10/08/2019,-0.011858155389766126,-0.003873328320056272
153,2019-10-09,26308.23047,26424.31055,26249.75,26346.00977,26346.00977,190060000,10/09/2019,0.00695499305679455,0.0030816647367382785
154,2019-10-10,26317.34961,26603.31055,26314.50977,26496.66992,26496.66992,217680000,10/10/2019,0.005718518717455091,0.00880018345419337
155,2019-10-11,26694.19922,27013.9707,26694.19922,26816.58984,26816.58984,282080000,10/11/2019,0.012073967067028334,0.020874150521221706
156,2019-10-14,26766.42969,26874.33008,26749.17969,26787.35938,26787.35938,178620000,10/14/2019,-0.001090014061236015,0.01978413645998569
157,2019-10-15,26811.19922,27120.10938,26811.19922,27024.80078,27024.80078,245510000,10/15/2019,0.008863934538365823,0.02864807099835151
158,2019-10-16,26972.31055,27058.339839999997,26943.289060000003,27001.98047,27001.98047,214660000,10/16/2019,-0.0008444210259226485,0.027803649972428863
159,2019-10-17,27032.38086,27112.160160000003,26970.289060000003,27025.88086,27025.88086,222540000,10/17/2019,0.000885134704343504,0.028688784676772366
160,2019-10-18,27004.49023,27018.25,26770.13086,26770.19922,26770.19922,288970000,10/18/2019,-0.00946062188775602,0.019228162789016345
161,2019-10-21,26852.66992,26852.66992,26747.61914,26827.64063,26827.64063,241030000,10/21/2019,0.002145722171431905,0.02137388496044825
162,2019-10-22,26850.429689999997,26946.64063,26782.60938,26788.09961,26788.09961,265510000,10/22/2019,-0.0014738910717248775,0.019899993888723374
163,2019-10-23,26835.24023,26896.89063,26745.0,26833.94922,26833.94922,247680000,10/23/2019,0.0017115663547436497,0.021611560243467023
164,2019-10-24,26893.929689999997,26931.7793,26714.33984,26805.5293,26805.5293,253590000,10/24/2019,-0.0010591031445650277,0.020552457098901994
